ir_quality,temperature,humidity,methane,Smoke
80,95,4,51,1
98,69,5,40,1
61,97,2,49,1
40,44,25,12,0
42,42,33,13,0
100,85,4,68,1
70,96,3,58,1
40,50,31,8,0
40,46,31,8,0
44,44,10,13,0
52,86,5,61,1
65,59,3,42,1
42,47,15,11,0
44,45,14,8,0
87,97,5,47,1
85,61,5,68,1
64,74,2,58,1
43,32,13,15,0
77,96,5,45,1
13,21,79,4,0
87,88,4,43,1
82,86,3,45,1
47,37,15,12,0
99,69,3,68,1
7,29,70,7,0
69,58,3,58,1
70,84,3,60,1
47,49,26,15,0
11,23,66,7,0
86,63,4,59,1
90,66,3,64,1
91,76,4,43,1
93,52,5,59,1
69,59,5,40,1
6,22,64,0,0
14,28,69,1,0
41,37,23,11,0
60,100,4,48,1
95,86,5,51,1
73,92,2,68,1
56,74,5,64,1
67,94,5,59,1
41,45,22,14,0
49,44,12,10,0
55,81,3,69,1
47,43,34,12,0
92,77,5,63,1
11,23,53,1,0
99,89,3,48,1
49,47,29,9,0
74,55,5,70,1
36,45,31,13,0
91,90,2,64,1
41,50,26,9,0
63,53,4,44,1
95,89,4,60,1
71,86,3,61,1
6,27,65,5,0
39,48,23,8,0
4,22,77,3,0
61,90,5,50,1
3,25,52,0,0
83,86,4,62,1
85,97,2,61,1
39,37,22,7,0
87,53,4,64,1
76,97,4,57,1
92,89,3,42,1
77,76,2,40,1
86,94,4,45,1
45,32,16,11,0
70,64,5,62,1
9,21,77,6,0
4,24,79,7,0
63,90,2,49,1
57,82,2,67,1
56,86,4,64,1
53,54,3,69,1
5,27,59,3,0
0,29,80,7,0
3,24,62,4,0
98,71,3,50,1
80,89,5,70,1
44,33,22,14,0
54,80,2,70,1
82,86,4,59,1
57,87,3,64,1
58,75,2,69,1
37,34,22,7,0
1,29,79,3,0
14,28,52,0,0
72,52,3,70,1
87,65,5,50,1
83,60,2,49,1
51,86,2,65,1
53,55,4,70,1
68,70,3,41,1
56,75,3,63,1
99,70,4,63,1
73,58,3,53,1
45,47,34,15,0
46,33,33,8,0
77,70,3,41,1
97,70,4,49,1
99,89,2,56,1
46,46,30,7,0
77,55,3,47,1
76,57,4,67,1
14,23,54,5,0
65,68,2,53,1
80,93,4,50,1
85,97,2,40,1
54,73,2,57,1
74,92,2,59,1
36,36,21,14,0
8,22,79,4,0
39,39,17,13,0
61,70,4,69,1
72,52,4,60,1
3,30,73,4,0
66,52,3,40,1
50,99,2,49,1
64,91,4,47,1
65,79,5,51,1
12,22,68,3,0
48,49,12,14,0
64,52,4,67,1
59,61,5,67,1
91,78,3,69,1
6,28,81,0,0
14,22,83,6,0
43,33,22,11,0
79,96,4,66,1
90,70,4,47,1
11,28,68,3,0
35,40,30,13,0
37,45,28,7,0
47,44,21,9,0
37,44,17,14,0
64,100,2,66,1
45,33,29,13,0
58,57,5,61,1
95,59,5,42,1
15,25,71,2,0
78,74,5,54,1
71,75,3,62,1
57,81,4,51,1
82,90,2,67,1
61,68,3,43,1
72,71,3,62,1
82,59,2,49,1
86,59,2,55,1
3,22,84,4,0
79,80,3,51,1
36,45,16,7,0
4,25,54,5,0
47,41,30,7,0
82,69,4,50,1
46,40,22,13,0
79,81,3,63,1
1,28,76,4,0
81,84,2,66,1
84,93,5,45,1
91,97,3,64,1
83,83,4,45,1
99,89,2,42,1
43,34,23,7,0
42,46,16,9,0
51,69,5,62,1
7,24,51,3,0
93,90,4,45,1
69,92,4,42,1
95,62,4,54,1
2,21,77,5,0
68,51,3,45,1
71,98,2,63,1
3,26,71,5,0
35,42,11,13,0
70,61,4,61,1
37,48,19,14,0
77,79,2,56,1
39,50,21,15,0
74,52,3,57,1
58,72,5,68,1
77,89,2,66,1
65,78,5,67,1
87,78,5,52,1
83,87,5,44,1
86,73,4,61,1
80,99,5,65,1
81,59,2,40,1
98,81,2,50,1
89,93,4,46,1
99,73,3,44,1
66,71,2,54,1
92,99,2,68,1
1,30,78,2,0
51,73,4,62,1
96,91,5,58,1
84,90,4,43,1
74,97,2,58,1
51,54,4,65,1
86,90,2,46,1
45,36,22,7,0
5,22,66,0,0
63,52,3,46,1
51,81,4,63,1
95,57,3,67,1
35,32,15,8,0
48,49,16,7,0
9,30,65,5,0
12,28,66,0,0
72,68,4,45,1
80,89,2,61,1
52,90,3,69,1
39,36,29,15,0
92,58,4,54,1
47,42,32,7,0
3,29,76,7,0
4,21,63,1,0
96,55,2,61,1
38,49,34,13,0
15,20,53,3,0
10,24,79,5,0
42,32,21,7,0
15,27,71,7,0
13,26,60,5,0
60,64,3,62,1
95,67,5,56,1
35,41,11,14,0
81,88,4,42,1
6,30,71,2,0
98,58,4,65,1
10,25,75,2,0
71,91,5,45,1
51,93,5,41,1
86,82,2,61,1
82,51,5,53,1
100,63,2,46,1
97,85,2,48,1
13,20,79,7,0
46,43,33,11,0
37,34,29,15,0
87,52,2,54,1
83,92,2,56,1
45,49,29,7,0
37,34,20,8,0
94,53,5,48,1
63,93,5,59,1
46,40,10,11,0
54,69,5,70,1
72,93,3,51,1
74,79,2,46,1
9,27,55,2,0
56,77,5,50,1
39,44,35,9,0
52,77,2,54,1
38,50,11,8,0
98,97,4,62,1
96,98,5,48,1
39,43,30,15,0
48,38,13,13,0
49,46,35,9,0
64,88,2,40,1
35,45,23,9,0
79,99,5,52,1
61,71,2,40,1
89,64,4,64,1
82,76,4,40,1
76,88,5,44,1
71,62,5,46,1
54,87,5,69,1
0,22,84,2,0
50,60,4,56,1
42,41,30,7,0
3,20,62,0,0
59,71,3,47,1
49,46,33,7,0
13,23,59,0,0
46,37,32,10,0
99,59,5,40,1
64,60,3,43,1
82,93,4,56,1
37,45,35,12,0
50,86,2,64,1
44,35,25,9,0
86,52,5,61,1
94,78,3,66,1
37,39,33,14,0
59,70,3,45,1
11,26,58,6,0
82,87,2,51,1
75,85,5,48,1
80,82,4,56,1
45,43,27,13,0
96,89,3,42,1
55,63,3,66,1
48,48,16,13,0
38,40,34,8,0
74,54,3,62,1
37,41,18,8,0
93,70,4,40,1
71,66,3,44,1
43,38,30,11,0
8,21,81,6,0
93,82,3,43,1
49,34,19,10,0
55,90,5,70,1
46,38,16,8,0
92,70,4,67,1
13,24,78,1,0
50,100,4,62,1
73,62,4,40,1
94,79,4,43,1
83,82,3,43,1
93,51,4,69,1
1,20,77,5,0
36,41,25,9,0
66,86,4,57,1
77,95,3,45,1
48,45,11,11,0
47,44,30,10,0
87,63,4,66,1
63,96,2,70,1
57,66,4,60,1
79,57,5,66,1
15,21,80,4,0
4,25,58,5,0
81,73,3,41,1
82,57,3,55,1
3,30,57,3,0
77,59,2,64,1
61,86,3,67,1
54,90,5,62,1
73,95,3,61,1
38,50,23,7,0
1,24,56,0,0
84,63,2,63,1
64,87,3,42,1
2,20,65,5,0
86,79,5,40,1
55,84,5,61,1
44,31,23,14,0
81,84,3,48,1
10,27,81,3,0
56,86,5,56,1
88,81,4,62,1
84,98,3,59,1
79,51,3,66,1
37,34,19,15,0
41,33,18,10,0
47,42,18,15,0
98,86,2,68,1
48,37,28,10,0
48,34,28,8,0
97,51,3,61,1
75,86,2,51,1
46,34,18,14,0
97,87,5,41,1
37,43,21,8,0
94,96,4,42,1
6,23,64,5,0
59,90,3,56,1
35,36,23,11,0
81,79,2,67,1
84,71,2,54,1
88,53,4,66,1
91,88,2,44,1
62,90,5,41,1
95,65,2,55,1
63,53,5,46,1
99,56,3,64,1
89,51,2,53,1
66,51,4,62,1
39,42,12,15,0
2,26,68,1,0
62,59,4,45,1
35,45,10,15,0
91,89,4,57,1
4,21,85,6,0
76,56,5,52,1
50,89,2,42,1
67,79,4,48,1
43,33,29,15,0
43,48,17,13,0
89,73,3,59,1
40,47,13,7,0
41,47,21,9,0
14,25,85,7,0
12,27,54,0,0
83,98,4,47,1
40,47,35,10,0
9,25,69,4,0
43,31,16,10,0
8,22,78,0,0
79,72,2,60,1
88,84,4,64,1
70,57,2,42,1
66,93,4,68,1
93,60,2,47,1
49,50,14,10,0
90,73,2,43,1
7,28,53,6,0
100,77,3,63,1
38,39,26,11,0
71,70,4,48,1
39,48,28,15,0
81,76,5,49,1
3,25,54,5,0
81,76,5,43,1
83,62,4,58,1
97,67,3,65,1
49,32,25,15,0
49,45,31,9,0
69,93,2,41,1
15,29,83,4,0
37,36,27,10,0
95,79,3,70,1
15,21,79,1,0
82,57,2,43,1
47,46,19,15,0
68,81,4,67,1
68,93,2,41,1
58,100,3,49,1
52,92,4,41,1
94,81,4,58,1
78,96,4,63,1
36,44,21,10,0
92,65,4,48,1
7,22,74,5,0
14,23,77,6,0
74,100,4,48,1
38,38,17,10,0
62,67,4,53,1
44,46,20,10,0
78,66,2,41,1
61,98,2,67,1
37,48,30,7,0
64,70,2,47,1
72,59,5,56,1
47,36,14,12,0
3,30,55,4,0
51,54,3,59,1
35,32,18,9,0
71,67,3,40,1
84,85,2,42,1
40,38,21,15,0
95,62,3,51,1
58,93,3,68,1
82,95,5,68,1
46,42,27,15,0
88,65,3,40,1
35,45,34,11,0
51,56,3,67,1
86,79,3,61,1
89,68,4,64,1
12,20,84,0,0
42,39,15,13,0
12,22,58,6,0
55,92,4,65,1
40,44,11,12,0
6,26,58,6,0
14,25,68,1,0
89,92,4,59,1
51,78,2,57,1
47,36,26,14,0
71,84,3,51,1
36,39,35,11,0
87,63,4,54,1
37,31,16,11,0
71,78,4,58,1
15,27,56,6,0
99,95,3,62,1
97,95,5,43,1
0,22,67,1,0
39,50,31,15,0
39,34,26,13,0
44,33,22,10,0
43,41,23,11,0
9,21,85,5,0
40,43,32,10,0
50,86,2,40,1
60,57,5,48,1
74,51,3,59,1
61,84,4,59,1
77,83,3,58,1
14,25,83,3,0
8,25,54,7,0
66,57,2,66,1
35,33,22,15,0
43,40,17,11,0
9,21,84,2,0
73,75,2,68,1
79,64,5,59,1
11,30,62,5,0
0,26,82,1,0
68,52,3,45,1
77,94,5,48,1
96,79,5,48,1
91,80,5,58,1
12,25,77,5,0
57,99,5,53,1
41,37,13,15,0
69,63,2,52,1
37,37,14,10,0
84,84,4,65,1
95,94,2,46,1
66,88,2,44,1
60,100,3,47,1
50,85,3,52,1
70,94,3,43,1
36,31,26,7,0
57,77,3,52,1
71,96,3,41,1
66,62,5,45,1
3,20,74,1,0
11,22,70,6,0
52,100,4,48,1
35,47,11,15,0
82,71,5,42,1
44,48,30,9,0
44,48,17,14,0
35,40,19,11,0
39,50,11,15,0
46,41,29,7,0
14,24,52,0,0
79,64,5,55,1
51,83,5,64,1
95,89,4,49,1
4,26,73,5,0
83,76,4,46,1
58,65,5,54,1
48,49,10,11,0
83,90,4,50,1
6,23,66,0,0
14,28,62,1,0
83,51,5,61,1
81,78,4,47,1
12,20,85,0,0
36,37,12,13,0
35,41,34,8,0
88,57,2,58,1
6,25,62,5,0
91,72,2,50,1
4,25,66,4,0
45,49,31,7,0
52,95,3,56,1
84,100,5,55,1
42,32,32,7,0
74,63,3,53,1
95,64,4,41,1
83,90,4,43,1
63,54,3,55,1
47,38,32,10,0
15,27,76,0,0
80,95,2,50,1
4,27,68,6,0
54,70,4,57,1
1,26,63,3,0
70,97,2,44,1
88,54,4,67,1
70,78,2,68,1
97,87,2,59,1
99,93,2,54,1
79,85,3,55,1
71,54,3,43,1
59,53,2,70,1
81,66,2,64,1
14,30,71,3,0
97,80,4,69,1
42,34,30,14,0
65,98,3,46,1
45,33,14,14,0
56,55,4,43,1
93,97,3,60,1
93,83,5,47,1
92,74,4,49,1
49,49,21,12,0
60,53,2,44,1
5,22,82,6,0
90,65,2,61,1
71,61,4,65,1
43,47,22,7,0
75,75,5,50,1
73,100,5,52,1
46,43,30,10,0
69,53,4,65,1
43,49,12,15,0
54,70,3,50,1
91,87,2,44,1
63,51,2,70,1
1,21,52,3,0
80,75,4,52,1
40,46,20,13,0
74,95,4,69,1
60,57,2,59,1
96,97,4,52,1
57,97,4,41,1
80,93,2,49,1
35,39,33,10,0
12,27,79,0,0
9,20,65,5,0
99,64,3,62,1
52,85,5,54,1
84,69,2,45,1
40,37,33,7,0
50,61,4,44,1
57,89,3,43,1
87,87,5,57,1
73,53,5,68,1
5,29,76,0,0
88,80,4,53,1
91,76,4,61,1
58,90,3,58,1
82,64,2,55,1
57,60,5,59,1
68,66,5,65,1
85,83,3,61,1
49,39,34,15,0
0,30,53,6,0
70,60,3,60,1
1,25,69,7,0
52,65,4,45,1
67,57,4,44,1
12,20,72,0,0
43,36,11,7,0
84,99,2,68,1
93,83,2,50,1
52,70,5,67,1
92,54,5,51,1
51,56,2,64,1
81,74,3,43,1
54,56,3,53,1
12,21,81,4,0
51,54,3,67,1
94,69,2,48,1
77,61,2,63,1
41,38,20,15,0
100,54,2,62,1
64,78,3,63,1
73,61,4,67,1
37,48,10,13,0
44,34,11,10,0
77,85,5,56,1
48,41,10,9,0
56,83,2,64,1
64,57,5,51,1
53,86,2,50,1
42,33,26,13,0
42,34,18,8,0
96,67,5,56,1
51,82,5,42,1
98,90,3,63,1
45,32,21,12,0
54,88,3,40,1
77,73,2,45,1
40,43,15,8,0
12,24,62,2,0
37,50,29,8,0
75,93,5,69,1
47,33,29,15,0
46,38,20,13,0
36,49,17,8,0
14,23,75,2,0
7,29,63,6,0
41,31,10,12,0
75,81,2,61,1
55,80,5,52,1
93,60,2,54,1
70,94,4,70,1
78,85,3,57,1
94,64,3,60,1
9,21,58,5,0
48,49,34,10,0
54,92,3,40,1
43,39,22,9,0
49,31,19,11,0
43,40,26,12,0
99,92,2,53,1
47,39,33,8,0
57,76,5,61,1
95,54,2,58,1
8,30,58,0,0
59,70,4,56,1
39,41,14,12,0
36,47,33,9,0
99,75,5,66,1
37,36,25,10,0
9,29,70,4,0
37,41,18,12,0
50,89,4,58,1
57,82,3,58,1
55,75,2,42,1
4,26,78,1,0
49,31,35,13,0
95,78,2,60,1
51,94,5,56,1
97,89,5,61,1
71,65,2,63,1
79,86,4,56,1
9,27,83,4,0
40,47,19,14,0
52,72,4,68,1
42,40,13,14,0
14,26,65,2,0
96,100,3,44,1
78,52,2,48,1
37,46,20,12,0
39,33,15,8,0
87,63,5,64,1
90,75,4,56,1
67,64,3,41,1
73,67,5,51,1
81,70,2,67,1
64,95,5,65,1
6,24,62,5,0
77,52,5,62,1
89,98,2,59,1
91,80,3,43,1
71,68,2,52,1
92,86,4,60,1
81,60,5,46,1
57,68,2,46,1
46,33,23,9,0
2,28,55,7,0
39,45,13,15,0
1,22,66,3,0
44,37,27,10,0
96,81,3,53,1
65,63,5,61,1
10,27,75,5,0
84,69,5,60,1
94,52,3,46,1
74,83,4,57,1
84,70,2,54,1
90,56,4,68,1
50,62,4,41,1
15,25,69,3,0
67,98,3,43,1
93,70,3,59,1
